Date,open,high,low,close,adjclose,volume,ingested_at_utc
2016-04-11,147500.0,147500.0,145000.0,146000.0,103869.09375,197423,2026-02-21 06:47:26.527494+00:00
2016-04-12,146000.0,150000.0,145000.0,148500.0,105647.671875,361212,2026-02-21 06:47:26.527494+00:00
2016-04-14,150000.0,152000.0,149500.0,152000.0,108137.703125,496852,2026-02-21 06:47:26.527494+00:00
2016-04-15,150500.0,152000.0,149000.0,151500.0,107781.9921875,297722,2026-02-21 06:47:26.527494+00:00
2016-04-18,150000.0,155000.0,150000.0,154000.0,109560.59375,406339,2026-02-21 06:47:26.527494+00:00
2016-04-19,155000.0,155000.0,152000.0,153000.0,108849.125,310407,2026-02-21 06:47:26.527494+00:00
2016-04-20,153500.0,155000.0,151000.0,151500.0,107781.9921875,270230,2026-02-21 06:47:26.527494+00:00
2016-04-21,152000.0,154500.0,152000.0,154000.0,109560.59375,297646,2026-02-21 06:47:26.527494+00:00
2016-04-22,152000.0,153500.0,150500.0,151000.0,107426.28125,318972,2026-02-21 06:47:26.527494+00:00
2016-04-25,151000.0,152000.0,149000.0,149500.0,106359.1015625,273343,2026-02-21 06:47:26.527494+00:00
2016-04-26,149000.0,154000.0,149000.0,153500.0,109204.84375,365930,2026-02-21 06:47:26.527494+00:00
2016-04-27,152000.0,153000.0,148500.0,149000.0,106003.421875,374037,2026-02-21 06:47:26.527494+00:00
2016-04-28,148500.0,150500.0,147000.0,148000.0,105291.9609375,466520,2026-02-21 06:47:26.527494+00:00
2016-04-29,146500.0,147500.0,142000.0,143500.0,102090.546875,739237,2026-02-21 06:47:26.527494+00:00
2016-05-02,142000.0,144000.0,141500.0,142500.0,101379.109375,242036,2026-02-21 06:47:26.527494+00:00
2016-05-03,143000.0,144000.0,142000.0,142500.0,101379.109375,359029,2026-02-21 06:47:26.527494+00:00
2016-05-04,141500.0,142000.0,138500.0,139000.0,98889.1015625,807340,2026-02-21 06:47:26.527494+00:00
2016-05-09,138500.0,139000.0,135500.0,135500.0,96399.09375,482711,2026-02-21 06:47:26.527494+00:00
2016-05-10,136500.0,140500.0,136500.0,139500.0,99244.8203125,346710,2026-02-21 06:47:26.527494+00:00
2016-05-11,140500.0,142000.0,138500.0,139000.0,98889.1015625,284228,2026-02-21 06:47:26.527494+00:00
2016-05-12,138000.0,138500.0,136500.0,136500.0,97110.5,421047,2026-02-21 06:47:26.527494+00:00
2016-05-13,136000.0,137500.0,135000.0,135000.0,96043.359375,529746,2026-02-21 06:47:26.527494+00:00
2016-05-16,136500.0,137500.0,135000.0,135500.0,96399.09375,397771,2026-02-21 06:47:26.527494+00:00
2016-05-17,135500.0,136500.0,134500.0,134500.0,95687.640625,314839,2026-02-21 06:47:26.527494+00:00
2016-05-18,135000.0,135500.0,132000.0,133000.0,94620.484375,630692,2026-02-21 06:47:26.527494+00:00
2016-05-19,132500.0,136000.0,132500.0,134500.0,95687.640625,389055,2026-02-21 06:47:26.527494+00:00
2016-05-20,134000.0,135000.0,131500.0,132000.0,93909.0703125,462176,2026-02-21 06:47:26.527494+00:00
2016-05-23,133000.0,134500.0,133000.0,133000.0,94620.484375,310458,2026-02-21 06:47:26.527494+00:00
2016-05-24,133000.0,135000.0,132000.0,133500.0,94976.21875,355717,2026-02-21 06:47:26.527494+00:00
2016-05-25,134500.0,137000.0,134000.0,135000.0,96043.359375,500528,2026-02-21 06:47:26.527494+00:00
2016-05-26,136000.0,137000.0,134500.0,135000.0,96043.359375,342299,2026-02-21 06:47:26.527494+00:00
2016-05-27,136000.0,136500.0,135000.0,136000.0,96754.796875,346406,2026-02-21 06:47:26.527494+00:00
2016-05-30,136000.0,137500.0,135000.0,136500.0,97110.5,474129,2026-02-21 06:47:26.527494+00:00
2016-05-31,136500.0,139500.0,135000.0,139500.0,99244.8203125,1734508,2026-02-21 06:47:26.527494+00:00
2016-06-01,137500.0,138500.0,136500.0,138000.0,98177.65625,507997,2026-02-21 06:47:26.527494+00:00
